user_id,median_purchase_price,q75_purchase_price,mean_purchase_price,view_count,purchase_count
512505687,145.15,145.15,140.51666666666668,544,9
512564712,432.64,439.59,404.6467741935485,174,31
512567768,212.08,215.29500000000002,190.08652173913043,414,23
512703028,43.68,61.75,53.980000000000004,334,7
512947676,1842.26,1900.9325,1462.986304347826,369,46
513052988,532.8,583.2075,380.13205882352935,269,34
513258872,185.875,325.33250000000004,308.99249999999995,253,68
513834767,77.2,104.75999999999999,69.07571428571428,240,7
513843849,248.12,311.3075,224.7575,336,8
514033336,89.06,119.69,86.99857142857142,221,7
514226544,334.6,334.6,321.72285714285715,261,7
514305672,194.08,194.08,149.73818181818183,199,22
514998287,96.53,104.89,87.66285714285713,551,7
515015932,497.8,500.63,496.3286440677968,512,118
516280760,16.73,128.63,117.02022222222217,456,45
516305309,178.87,201.68,139.564347826087,215,23
522277481,395.07,395.07,274.5141176470588,284,17
525926562,107.83,107.83,93.11210526315789,272,19
526572006,217.25,295.75,235.9247619047619,285,21
530599462,216.61,496.73,279.666875,354,16
532000541,272.645,320.7,287.4605555555556,572,90
533147186,44.25,174.12,88.455,214,20
533376746,109.08,109.08,134.21444444444444,290,9
533383404,326.1,459.2525,445.065,338,8
538469161,165.325,207.4375,184.1128125,496,32
543090830,182.48,184.04000000000002,167.22866666666667,398,15
544066481,848.39,848.62,669.5011111111112,324,18
546291717,772.19,812.61,727.5545192307692,248,104
546456737,469.97,469.97,371.7104545454546,164,22
546835094,54.03,56.185,43.482499999999995,638,12
546953099,566.76,643.26,609.4856140350877,267,57
548116094,59.07,205.91,126.11047619047619,798,42
549783415,106.66999999999999,390.59,188.53249999999994,425,12
550982252,172.175,217.48,184.79166666666666,541,18
553332701,257.38,384.29,453.29714285714283,376,21
553446649,857.46,977.07,697.7703448275861,500,174
559161575,351.85,358.1725,338.9340000000001,322,10
560140851,26.62,36.58,44.30909090909091,494,11
560824824,505.52,631.6500000000001,517.1337142857143,270,35
562403825,971.79,1052.115,871.3342105263157,275,19
567354718,223.92,385.315,327.7772413793104,429,58
568091179,328.19,328.19,324.2441666666667,778,12
568843819,318.975,790.52,560.91,564,8
571521272,57.17,114.54,68.3011111111111,239,9
575578714,187.37,236.27,177.21466666666663,248,15
576244484,401.595,938.04,532.9792307692308,170,26
576962777,269.48,741.85,410.7574691358025,299,162
579189946,564.21,568.07,494.74000000000007,367,25
580474211,33.32,784.1025000000001,295.35083333333336,496,12
584328027,211.575,270.78,261.3025,628,76
584555181,411.59,437.33,379.7586046511628,340,43
585491750,199.01999999999998,204.165,192.2373076923077,287,26
588809681,373.73,373.73,338.4765853658537,490,41
592215317,112.41,125.23,110.30434343434342,722,99
592816742,30.26,76.96,57.193076923076916,470,13
594843325,257.38,280.03,225.369125,159,80
594982661,61.13,72.33,110.44222222222223,422,9
596437550,186.08,186.08,146.91375,328,8
598939416,694.74,1209.55,694.3219999999999,1669,65
603865034,204.34,231.64,215.41443478260865,341,230
606197648,173.87,192.77,133.32,93,20
606419025,208.8,286.61249999999995,192.4266666666667,503,12
606883223,194.08,764.6475,342.49999999999994,199,18
607374288,405.13,547.7825,518.17,161,58
610157316,900.64,962.44,734.6220000000001,237,25
611075666,36.01,185.465,136.30266666666665,959,15
611093476,127.16,177.91,126.23625000000001,328,8
611397729,298.62,334.37,329.90999999999997,226,16
612053770,222.89,222.89,216.279375,938,16
613640444,143.89,167.03,168.67747826086958,429,115
614448088,300.01,1389.97,693.643,574,10
615782886,77.22,119.48,121.03454545454544,291,11
616664909,498.93,698.65,560.4692957746479,183,71
621730545,334.35,384.8,406.2102409638555,435,83
623025919,497.82,603.885,429.3896,294,50
623077781,925.1600000000001,974.64,717.3997058823528,329,34
624788120,146.31,148.78,188.08090909090907,254,11
625315527,405.13,423.41,310.6210810810812,264,37
625837826,567.4300000000001,836.5475,616.3964285714285,366,14
627079658,481.02,848.67,561.6485,577,40
627964145,408.48,426.01,415.1362755102042,437,196
627971559,320.73,486.63,318.5338888888889,200,18
628167977,198.555,360.01,258.26811557788943,569,398
628363058,1513.55,1513.55,1066.394523809524,884,42
628907666,47.59,129.22,90.16705882352942,602,17
629426279,826.24,836.8,644.5158865248228,357,141
630552805,170.34,231.64,164.7178409090909,342,88
631906042,65.87,243.74,143.03444444444443,414,9
632966321,280.55,288.27,284.35902439024386,389,41
633294473,56.37,254.8,150.3125,283,12
633676065,185.72,334.37,200.815,325,10
635082143,692.42,771.96,596.4158823529411,355,17
635450036,46.85,89.04,67.02551724137929,421,29
635976547,900.67,900.67,647.7833333333333,231,9
638480214,281.53,281.86,302.40840000000003,559,25
639628278,578.91,820.2175,614.6371428571427,613,14
640285933,356.38,541.6850000000001,366.095,504,10
641367938,863.455,899.7625,862.5550000000001,293,8
642025771,233.98,411.46,279.4870967741935,100,31
642438644,592.01,592.01,578.3558823529412,301,17
